rent_approval_date,town,block,street,flat_type,monthly_rent
2021-06,ANG MO KIO,646,ANG MO KIO AVE 6,4-ROOM,2300
2021-06,PUNGGOL,308A,PUNGGOL WALK,4-ROOM,2500
2021-06,CLEMENTI,348,CLEMENTI AVE 5,4-ROOM,3300
2021-06,SEMBAWANG,588C,MONTREAL DR,5-ROOM,2200
2021-06,BUKIT MERAH,1,TELOK BLANGAH CRES,3-ROOM,2650
2021-06,SERANGOON,257,SERANGOON CTRL DR,5-ROOM,2800
2021-06,HOUGANG,698C,HOUGANG ST 52,EXECUTIVE,3100
2021-06,KALLANG/WHAMPOA,99,WHAMPOA DR,4-ROOM,1800
2021-06,CHOA CHU KANG,124,TECK WHYE LANE,4-ROOM,1700
2021-06,JURONG EAST,340,JURONG EAST AVE 1,5-ROOM,2428
2021-06,KALLANG/WHAMPOA,15,FARRER PK RD,3-ROOM,2000
2021-06,PUNGGOL,658C,PUNGGOL EAST,4-ROOM,1800
2021-06,CLEMENTI,612,CLEMENTI WEST ST 1,4-ROOM,2300
2021-06,WOODLANDS,537,WOODLANDS DR 16,4-ROOM,1700
2021-06,GEYLANG,301,UBI AVE 1,3-ROOM,2200
2021-06,PUNGGOL,684B,EDGEDALE PLAINS,5-ROOM,2300
2021-06,BISHAN,235,BISHAN ST 22,4-ROOM,2700
2021-06,CENTRAL,1C,CANTONMENT RD,4-ROOM,2500
2021-06,KALLANG/WHAMPOA,72,GEYLANG BAHRU,3-ROOM,2400
2021-06,CLEMENTI,311B,CLEMENTI AVE 4,3-ROOM,2600
2021-06,TAMPINES,227,SIMEI ST 4,4-ROOM,2000
2021-06,KALLANG/WHAMPOA,13,FARRER PK RD,4-ROOM,2750
2021-06,QUEENSTOWN,33,GHIM MOH LINK,4-ROOM,2900
2021-06,TAMPINES,606C,TAMPINES ST 61,3-ROOM,1900
2021-06,MARINE PARADE,30,MARINE CRES,3-ROOM,1850
2021-06,BUKIT BATOK,451B,BT BATOK WEST AVE 6,4-ROOM,1800
2021-06,QUEENSTOWN,11,HOLLAND DR,3-ROOM,2000
2021-06,HOUGANG,222,HOUGANG ST 21,EXECUTIVE,2000
2021-06,KALLANG/WHAMPOA,39,CAMBRIDGE RD,4-ROOM,2550
2021-06,SENGKANG,208B,COMPASSVALE LANE,4-ROOM,1850
2021-06,BUKIT MERAH,76A,REDHILL RD,5-ROOM,3100
2021-06,TOA PAYOH,38,LOR 5 TOA PAYOH,3-ROOM,2000
2021-06,BUKIT PANJANG,633C,SENJA RD,4-ROOM,2350
2021-06,JURONG WEST,653B,JURONG WEST ST 61,5-ROOM,2100
2021-06,BUKIT MERAH,76A,REDHILL RD,5-ROOM,3000
2021-06,KALLANG/WHAMPOA,7,JLN BATU,2-ROOM,1500
2021-06,BUKIT BATOK,358,BT BATOK ST 31,4-ROOM,2050
2021-06,YISHUN,740,YISHUN AVE 5,3-ROOM,2000
2021-06,YISHUN,736,YISHUN ST 72,3-ROOM,2100
2021-06,SENGKANG,208B,COMPASSVALE LANE,4-ROOM,2400
2021-06,PUNGGOL,132,EDGEDALE PLAINS,5-ROOM,1800
2021-06,HOUGANG,321,HOUGANG AVE 5,3-ROOM,1300
2021-06,BUKIT MERAH,47,MOH GUAN TER,2-ROOM,2300
2021-06,HOUGANG,984C,BUANGKOK LINK,5-ROOM,2100
2021-06,GEYLANG,61,CIRCUIT RD,3-ROOM,1850
2021-06,CLEMENTI,428,CLEMENTI AVE 3,3-ROOM,2000
2021-06,CHOA CHU KANG,284,CHOA CHU KANG AVE 3,4-ROOM,2300
2021-06,JURONG WEST,336,TAH CHING RD,EXECUTIVE,2900
2021-06,HOUGANG,407,HOUGANG AVE 10,EXECUTIVE,2700
2021-06,SEMBAWANG,336,SEMBAWANG CRES,4-ROOM,1900
2021-06,QUEENSTOWN,170,STIRLING RD,3-ROOM,2200
2021-06,MARINE PARADE,63,MARINE DR,4-ROOM,2600
2021-06,SENGKANG,304B,ANCHORVALE LINK,5-ROOM,2200
2021-06,CLEMENTI,506,WEST COAST DR,4-ROOM,2200
2021-06,JURONG WEST,523,JURONG WEST ST 52,5-ROOM,2200
2021-06,BISHAN,265,BISHAN ST 24,4-ROOM,2550
2021-06,YISHUN,347A,YISHUN AVE 11,3-ROOM,2200
2021-06,SENGKANG,324C,SENGKANG EAST WAY,EXECUTIVE,2300
2021-06,TOA PAYOH,101,POTONG PASIR AVE 1,3-ROOM,2600
2021-06,CLEMENTI,706,CLEMENTI WEST ST 2,4-ROOM,2800
2021-06,BEDOK,135,BEDOK NTH ST 2,3-ROOM,1900
2021-06,PUNGGOL,233A,SUMANG LANE,2-ROOM,1400
2021-06,CLEMENTI,309,CLEMENTI AVE 4,3-ROOM,2100
2021-06,BUKIT PANJANG,274,BANGKIT RD,4-ROOM,1900
2021-06,BUKIT BATOK,313,BT BATOK ST 32,4-ROOM,2350
2021-06,WOODLANDS,37,MARSILING DR,5-ROOM,2500
2021-06,JURONG WEST,348,KANG CHING RD,5-ROOM,2400
2021-06,YISHUN,778,YISHUN AVE 2,3-ROOM,2200
2021-06,TOA PAYOH,3,LOR 7 TOA PAYOH,3-ROOM,2000
2021-06,HOUGANG,607,HOUGANG AVE 4,5-ROOM,2800
2021-06,PUNGGOL,102C,PUNGGOL FIELD,5-ROOM,2200
2021-06,TAMPINES,109,TAMPINES ST 11,3-ROOM,1900
2021-06,ANG MO KIO,588A,ANG MO KIO ST 52,5-ROOM,2700
2021-06,HOUGANG,831,HOUGANG CTRL,4-ROOM,1850
2021-06,SENGKANG,205C,COMPASSVALE LANE,5-ROOM,2000
2021-06,BUKIT PANJANG,127,PENDING RD,3-ROOM,2200
2021-06,KALLANG/WHAMPOA,42,CAMBRIDGE RD,4-ROOM,1800
2021-06,BUKIT MERAH,11,CANTONMENT CL,4-ROOM,2650
2021-06,TAMPINES,265,TAMPINES ST 21,3-ROOM,2300
2021-06,JURONG WEST,176,BOON LAY DR,3-ROOM,1450
2021-06,PUNGGOL,326C,SUMANG WALK,3-ROOM,1500
2021-06,JURONG EAST,53,TEBAN GDNS RD,4-ROOM,1600
2021-06,HOUGANG,988A,BUANGKOK GREEN,4-ROOM,1900
2021-06,TOA PAYOH,35,LOR 5 TOA PAYOH,4-ROOM,2400
2021-06,BEDOK,40,CHAI CHEE AVE,3-ROOM,1800
2021-06,SEMBAWANG,414,SEMBAWANG DR,5-ROOM,2700
2021-06,BUKIT TIMAH,5,TOH YI DR,4-ROOM,2500
2021-06,BISHAN,187,BISHAN ST 13,EXECUTIVE,3000
2021-06,BEDOK,125,BEDOK NTH RD,3-ROOM,2000
2021-06,KALLANG/WHAMPOA,77,LOR LIMAU,3-ROOM,2000
