date,new_hospital_admissions
2022-05-25,88
2022-05-26,68
2022-05-27,70
2022-05-28,54
2022-05-29,92
2022-05-30,45
2022-05-31,85
2022-06-01,67
2022-06-02,73
2022-06-03,60
2022-06-04,45
2022-06-05,67
2022-06-06,44
2022-06-07,54
2022-06-08,50
2022-06-09,49
2022-06-10,65
2022-06-11,62
2022-06-12,58
2022-06-13,72
2022-06-14,67
2022-06-15,59
2022-06-16,52
2022-06-17,80
2022-06-18,75
2022-06-19,65
2022-06-20,68
2022-06-21,115
2022-06-22,102
2022-06-23,91
2022-06-24,105
2022-06-25,96
2022-06-26,86
2022-06-27,110
2022-06-28,114
2022-06-29,136
2022-06-30,161
2022-07-01,137
2022-07-02,179
2022-07-03,139
2022-07-04,157
2022-07-05,175
2022-07-06,153
2022-07-07,124
2022-07-08,150
2022-07-09,178
2022-07-10,106
2022-07-11,65
2022-07-12,177
2022-07-13,181
2022-07-14,203
2022-07-15,176
2022-07-16,180
2022-07-17,141
2022-07-18,151
2022-07-19,142
2022-07-20,201
2022-07-21,182
2022-07-22,190
2022-07-23,184
2022-07-24,138
