date,new_icu_admissions
2022-05-25,0
2022-05-26,6
2022-05-27,1
2022-05-28,1
2022-05-29,5
2022-05-30,2
2022-05-31,5
2022-06-01,2
2022-06-02,0
2022-06-03,5
2022-06-04,2
2022-06-05,1
2022-06-06,2
2022-06-07,0
2022-06-08,1
2022-06-09,0
2022-06-10,0
2022-06-11,0
2022-06-12,0
2022-06-13,2
2022-06-14,1
2022-06-15,0
2022-06-16,0
2022-06-17,2
2022-06-18,2
2022-06-19,2
2022-06-20,2
2022-06-21,2
2022-06-22,4
2022-06-23,0
2022-06-24,3
2022-06-25,4
2022-06-26,2
2022-06-27,3
2022-06-28,2
2022-06-29,0
2022-06-30,5
2022-07-01,4
2022-07-02,4
2022-07-03,3
2022-07-04,6
2022-07-05,4
2022-07-06,1
2022-07-07,1
2022-07-08,3
2022-07-09,4
2022-07-10,6
2022-07-11,2
2022-07-12,3
2022-07-13,2
2022-07-14,10
2022-07-15,4
2022-07-16,4
2022-07-17,1
2022-07-18,3
2022-07-19,2
2022-07-20,5
2022-07-21,2
2022-07-22,3
2022-07-23,1
2022-07-24,10
