agecat,first_dose_pcttakeup,full_regimen_pcttakeup,vacc_date
5-11,0.0,0.0,2020-12-30
5-11,0.0,0.0,2020-12-31
5-11,0.0,0.0,2021-01-01
5-11,0.0,0.0,2021-01-02
5-11,0.0,0.0,2021-01-03
5-11,0.0,0.0,2021-01-04
5-11,0.0,0.0,2021-01-05
5-11,0.0,0.0,2021-01-06
5-11,0.0,0.0,2021-01-07
5-11,0.0,0.0,2021-01-08
5-11,0.0,0.0,2021-01-09
5-11,0.0,0.0,2021-01-10
5-11,0.0,0.0,2021-01-11
5-11,0.0,0.0,2021-01-12
5-11,0.0,0.0,2021-01-13
5-11,0.0,0.0,2021-01-14
5-11,0.0,0.0,2021-01-15
5-11,0.0,0.0,2021-01-16
5-11,0.0,0.0,2021-01-17
5-11,0.0,0.0,2021-01-18
5-11,0.0,0.0,2021-01-19
5-11,0.0,0.0,2021-01-20
5-11,0.0,0.0,2021-01-21
5-11,0.0,0.0,2021-01-22
5-11,0.0,0.0,2021-01-23
5-11,0.0,0.0,2021-01-24
5-11,0.0,0.0,2021-01-25
5-11,0.0,0.0,2021-01-26
5-11,0.0,0.0,2021-01-27
5-11,0.0,0.0,2021-01-28
5-11,0.0,0.0,2021-01-29
5-11,0.0,0.0,2021-01-30
5-11,0.0,0.0,2021-01-31
5-11,0.0,0.0,2021-02-01
5-11,0.0,0.0,2021-02-02
5-11,0.0,0.0,2021-02-03
5-11,0.0,0.0,2021-02-04
5-11,0.0,0.0,2021-02-05
5-11,0.0,0.0,2021-02-06
5-11,0.0,0.0,2021-02-07
5-11,0.0,0.0,2021-02-08
5-11,0.0,0.0,2021-02-09
5-11,0.0,0.0,2021-02-10
5-11,0.0,0.0,2021-02-11
5-11,0.0,0.0,2021-02-12
5-11,0.0,0.0,2021-02-13
5-11,0.0,0.0,2021-02-14
5-11,0.0,0.0,2021-02-15
5-11,0.0,0.0,2021-02-16
5-11,0.0,0.0,2021-02-17
5-11,0.0,0.0,2021-02-18
5-11,0.0,0.0,2021-02-19
5-11,0.0,0.0,2021-02-20
5-11,0.0,0.0,2021-02-21
5-11,0.0,0.0,2021-02-22
5-11,0.0,0.0,2021-02-23
5-11,0.0,0.0,2021-02-24
5-11,0.0,0.0,2021-02-25
5-11,0.0,0.0,2021-02-26
5-11,0.0,0.0,2021-02-27
5-11,0.0,0.0,2021-02-28
5-11,0.0,0.0,2021-03-01
5-11,0.0,0.0,2021-03-02
5-11,0.0,0.0,2021-03-03
5-11,0.0,0.0,2021-03-04
5-11,0.0,0.0,2021-03-05
5-11,0.0,0.0,2021-03-06
5-11,0.0,0.0,2021-03-07
