year,level_1,level_2,level_3,value
2015,Total,Total,"Total",1225.3
2015,Total,Total,"HDB Dwellings",981.1
2015,Total,Total,"Condominiums And Other Apartments",170.8
2015,Total,Total,"Landed Properties",69.2
2015,Total,Total,"Others",4.2
2015,Total,Owner,"Total",1112.4
2015,Total,Owner,"HDB Dwellings",902.8
2015,Total,Owner,"Condominiums And Other Apartments",143.7
2015,Total,Owner,"Landed Properties",63.7
2015,Total,Owner,"Others",2.3
2015,Total,Non-Owner,"Total",112.9
2015,Total,Non-Owner,"HDB Dwellings",78.3
2015,Total,Non-Owner,"Condominiums And Other Apartments",27.1
2015,Total,Non-Owner,"Landed Properties",5.5
2015,Total,Non-Owner,"Others",1.9
2015,Chinese,Total,"Total",937.9
2015,Chinese,Total,"HDB Dwellings",736.3
2015,Chinese,Total,"Condominiums And Other Apartments",139
2015,Chinese,Total,"Landed Properties",58.9
2015,Chinese,Total,"Others",3.8
2015,Chinese,Owner,"Total",873.7
2015,Chinese,Owner,"HDB Dwellings",691.9
2015,Chinese,Owner,"Condominiums And Other Apartments",124.1
2015,Chinese,Owner,"Landed Properties",55.5
2015,Chinese,Owner,"Others",2.2
2015,Chinese,Non-Owner,"Total",64.3
2015,Chinese,Non-Owner,"HDB Dwellings",44.4
2015,Chinese,Non-Owner,"Condominiums And Other Apartments",14.8
2015,Chinese,Non-Owner,"Landed Properties",3.4
2015,Chinese,Non-Owner,"Others",1.6
2015,Malays,Total,"Total",134.1
2015,Malays,Total,"HDB Dwellings",130.7
2015,Malays,Total,"Condominiums And Other Apartments",2.5
2015,Malays,Total,"Landed Properties",1
2015,Malays,Owner,"Total",116.6
2015,Malays,Owner,"HDB Dwellings",113.9
2015,Malays,Owner,"Condominiums And Other Apartments",1.8
2015,Malays,Owner,"Landed Properties",0.9
2015,Malays,Non-Owner,"Total",17.5
2015,Malays,Non-Owner,"HDB Dwellings",16.8
2015,Malays,Non-Owner,"Condominiums And Other Apartments",0.7
2015,Malays,Non-Owner,"Landed Properties",0.1
2015,Indians,Total,"Total",113
2015,Indians,Total,"HDB Dwellings",91.1
2015,Indians,Total,"Condominiums And Other Apartments",16.6
2015,Indians,Total,"Landed Properties",4.9
2015,Indians,Total,"Others",0.3
2015,Indians,Owner,"Total",95
2015,Indians,Owner,"HDB Dwellings",79.5
2015,Indians,Owner,"Condominiums And Other Apartments",11
2015,Indians,Owner,"Landed Properties",4.4
2015,Indians,Owner,"Others",0.1
2015,Indians,Non-Owner,"Total",18
2015,Indians,Non-Owner,"HDB Dwellings",11.7
2015,Indians,Non-Owner,"Condominiums And Other Apartments",5.6
2015,Indians,Non-Owner,"Landed Properties",0.5
2015,Indians,Non-Owner,"Others",0.2
2015,Others,Total,"Total",40.3
2015,Others,Total,"HDB Dwellings",23
2015,Others,Total,"Condominiums And Other Apartments",12.8
2015,Others,Total,"Landed Properties",4.4
2015,Others,Total,"Others",0.1
2015,Others,Owner,"Total",27.2
2015,Others,Owner,"HDB Dwellings",17.5
2015,Others,Owner,"Condominiums And Other Apartments",6.8
2015,Others,Owner,"Landed Properties",2.9
2015,Others,Non-Owner,"Total",13.1
2015,Others,Non-Owner,"HDB Dwellings",5.5
2015,Others,Non-Owner,"Condominiums And Other Apartments",6
2015,Others,Non-Owner,"Landed Properties",1.6
2015,Others,Non-Owner,"Others",0.1
